Team,W,L,W/L%,PS/G,PA/G,SRS,Season,Conference
ORLANDO MAGIC,59,23,.720,101.0,94.4,6.48,2008-2009,East
ATLANTA HAWKS,47,35,.573,98.1,96.5,1.70,2008-2009,East
MIAMI HEAT,43,39,.524,98.3,98.0,0.49,2008-2009,East
CHARLOTTE BOBCATS,35,47,.427,93.6,94.9,-1.20,2008-2009,East
WASHINGTON WIZARDS,19,63,.232,96.1,103.5,-6.98,2008-2009,East
BOSTON CELTICS,50,32,.610,99.2,95.6,3.37,2009-2010,East
TORONTO RAPTORS,40,42,.488,104.1,105.9,-1.83,2009-2010,East
NEW YORK KNICKS,29,53,.354,102.1,105.9,-4.01,2009-2010,East
PHILADELPHIA 76ERS,27,55,.329,97.7,101.6,-3.93,2009-2010,East
NEW JERSEY NETS,12,70,.146,92.4,101.5,-8.93,2009-2010,East
CLEVELAND CAVALIERS,61,21,.744,102.1,95.6,6.17,2009-2010,East
MILWAUKEE BUCKS,46,36,.561,97.7,96.0,1.37,2009-2010,East
CHICAGO BULLS,41,41,.500,97.5,99.1,-1.64,2009-2010,East
INDIANA PACERS,32,50,.390,100.8,103.8,-3.11,2009-2010,East
DETROIT PISTONS,27,55,.329,94.0,99.1,-5.02,2009-2010,East
ORLANDO MAGIC,59,23,.720,102.8,95.3,7.12,2009-2010,East
ATLANTA HAWKS,53,29,.646,101.7,97.0,4.44,2009-2010,East
MIAMI HEAT,47,35,.573,96.5,94.2,1.99,2009-2010,East
CHARLOTTE BOBCATS,44,38,.537,95.3,93.8,1.30,2009-2010,East
WASHINGTON WIZARDS,26,56,.317,96.2,101.0,-4.72,2009-2010,East
BOSTON CELTICS,56,26,.683,96.5,91.1,4.83,2010-2011,East
NEW YORK KNICKS,42,40,.512,106.5,105.7,0.48,2010-2011,East
PHILADELPHIA 76ERS,41,41,.500,99.0,97.5,1.01,2010-2011,East
NEW JERSEY NETS,24,58,.293,94.2,100.4,-6.28,2010-2011,East
TORONTO RAPTORS,22,60,.268,99.1,105.4,-6.28,2010-2011,East
CHICAGO BULLS,62,20,.756,98.6,91.3,6.53,2010-2011,East
INDIANA PACERS,37,45,.451,99.8,100.9,-1.38,2010-2011,East
MILWAUKEE BUCKS,35,47,.427,91.9,92.7,-1.02,2010-2011,East
DETROIT PISTONS,30,52,.366,97.0,100.6,-3.78,2010-2011,East
CLEVELAND CAVALIERS,19,63,.232,95.5,104.5,-8.88,2010-2011,East
MIAMI HEAT,58,24,.707,102.1,94.6,6.76,2010-2011,East
ORLANDO MAGIC,52,30,.634,99.2,93.7,4.92,2010-2011,East
ATLANTA HAWKS,44,38,.537,95.0,95.8,-1.10,2010-2011,East
CHARLOTTE BOBCATS,34,48,.415,93.3,97.3,-4.08,2010-2011,East
WASHINGTON WIZARDS,23,59,.280,97.3,104.7,-7.30,2010-2011,East
BOSTON CELTICS,39,27,.591,91.8,89.3,2.26,2011-2012,East
NEW YORK KNICKS,36,30,.545,97.8,94.7,2.39,2011-2012,East
PHILADELPHIA 76ERS,35,31,.530,93.6,89.4,3.59,2011-2012,East
TORONTO RAPTORS,23,43,.348,90.7,94.0,-3.67,2011-2012,East
NEW JERSEY NETS,22,44,.333,93.1,99.1,-6.37,2011-2012,East
CHICAGO BULLS,50,16,.758,96.3,88.2,7.43,2011-2012,East
INDIANA PACERS,42,24,.636,97.7,94.4,2.60,2011-2012,East
MILWAUKEE BUCKS,31,35,.470,99.0,98.7,-0.23,2011-2012,East
DETROIT PISTONS,25,41,.379,90.9,95.7,-5.19,2011-2012,East
CLEVELAND CAVALIERS,21,45,.318,93.0,100.2,-7.34,2011-2012,East
MIAMI HEAT,46,20,.697,98.5,92.5,5.72,2011-2012,East
ATLANTA HAWKS,40,26,.606,96.6,93.2,2.67,2011-2012,East
ORLANDO MAGIC,37,29,.561,94.2,93.4,0.46,2011-2012,East
WASHINGTON WIZARDS,20,46,.303,93.6,98.4,-5.14,2011-2012,East
CHARLOTTE BOBCATS,7,59,.106,87.0,100.9,-13.96,2011-2012,East
NEW YORK KNICKS,54,28,.659,100.0,95.7,3.73,2012-2013,East
BROOKLYN NETS,49,33,.598,96.9,95.1,1.25,2012-2013,East
BOSTON CELTICS,41,40,.506,96.5,96.7,-0.62,2012-2013,East
PHILADELPHIA 76ERS,34,48,.415,93.2,96.5,-3.51,2012-2013,East
TORONTO RAPTORS,34,48,.415,97.2,98.7,-1.96,2012-2013,East
INDIANA PACERS,49,32,.605,94.7,90.7,3.34,2012-2013,East
CHICAGO BULLS,45,37,.549,93.2,92.9,-0.02,2012-2013,East
MILWAUKEE BUCKS,38,44,.463,98.9,100.4,-1.83,2012-2013,East
DETROIT PISTONS,29,53,.354,94.9,98.8,-4.33,2012-2013,East
CLEVELAND CAVALIERS,24,58,.293,96.5,101.2,-4.87,2012-2013,East
MIAMI HEAT,66,16,.805,102.9,95.0,7.03,2012-2013,East
ATLANTA HAWKS,44,38,.537,98.0,97.5,-0.08,2012-2013,East
WASHINGTON WIZARDS,29,53,.354,93.2,95.8,-2.78,2012-2013,East
CHARLOTTE BOBCATS,21,61,.256,93.4,102.7,-9.29,2012-2013,East
ORLANDO MAGIC,20,62,.244,94.1,101.1,-7.12,2012-2013,East
TORONTO RAPTORS,48,34,.585,101.3,98.0,2.55,2013-2014,East
BROOKLYN NETS,44,38,.537,98.5,99.5,-1.58,2013-2014,East
NEW YORK KNICKS,37,45,.451,98.6,99.4,-1.40,2013-2014,East
BOSTON CELTICS,25,57,.305,96.2,100.7,-4.97,2013-2014,East
PHILADELPHIA 76ERS,19,63,.232,99.5,109.9,-10.66,2013-2014,East
INDIANA PACERS,56,26,.683,96.7,92.3,3.63,2013-2014,East
CHICAGO BULLS,48,34,.585,93.7,91.8,1.20,2013-2014,East
CLEVELAND CAVALIERS,33,49,.402,98.2,101.5,-3.86,2013-2014,East
DETROIT PISTONS,29,53,.354,101.0,104.7,-4.13,2013-2014,East
MILWAUKEE BUCKS,15,67,.183,95.5,103.7,-8.41,2013-2014,East
MIAMI HEAT,54,28,.659,102.2,97.4,4.15,2013-2014,East
WASHINGTON WIZARDS,44,38,.537,100.7,99.4,0.48,2013-2014,East
CHARLOTTE BOBCATS,43,39,.524,96.9,97.1,-0.89,2013-2014,East
ATLANTA HAWKS,38,44,.463,101.0,101.5,-0.88,2013-2014,East
ORLANDO MAGIC,23,59,.280,96.5,102.0,-5.88,2013-2014,East
TORONTO RAPTORS,49,33,.598,104.0,100.9,2.45,2014-2015,East
BOSTON CELTICS,40,42,.488,101.4,101.2,-0.40,2014-2015,East
BROOKLYN NETS,38,44,.463,98.0,100.9,-3.13,2014-2015,East
PHILADELPHIA 76ERS,18,64,.220,92.0,101.0,-9.04,2014-2015,East
NEW YORK KNICKS,17,65,.207,91.9,101.2,-9.50,2014-2015,East
CLEVELAND CAVALIERS,53,29,.646,103.1,98.7,4.08,2014-2015,East
CHICAGO BULLS,50,32,.610,100.8,97.8,2.54,2014-2015,East
MILWAUKEE BUCKS,41,41,.500,97.8,97.4,-0.09,2014-2015,East
INDIANA PACERS,38,44,.463,97.3,97.0,-0.23,2014-2015,East
DETROIT PISTONS,32,50,.390,98.5,99.5,-1.39,2014-2015,East
ATLANTA HAWKS,60,22,.732,102.5,97.1,4.75,2014-2015,East
WASHINGTON WIZARDS,46,36,.561,98.5,97.8,0.17,2014-2015,East
MIAMI HEAT,37,45,.451,94.7,97.3,-2.92,2014-2015,East
CHARLOTTE HORNETS,33,49,.402,94.2,97.3,-3.44,2014-2015,East
ORLANDO MAGIC,25,57,.305,95.7,101.4,-5.87,2014-2015,East
TORONTO RAPTORS,56,26,.683,102.7,98.2,4.08,2015-2016,East
BOSTON CELTICS,48,34,.585,105.7,102.5,2.84,2015-2016,East
NEW YORK KNICKS,32,50,.390,98.4,101.1,-2.74,2015-2016,East
BROOKLYN NETS,21,61,.256,98.6,106.0,-7.12,2015-2016,East
PHILADELPHIA 76ERS,10,72,.122,97.4,107.6,-9.92,2015-2016,East
CLEVELAND CAVALIERS,57,25,.695,104.3,98.3,5.45,2015-2016,East
INDIANA PACERS,45,37,.549,102.2,100.5,1.62,2015-2016,East
DETROIT PISTONS,44,38,.537,102.0,101.4,0.43,2015-2016,East
CHICAGO BULLS,42,40,.512,101.6,103.1,-1.46,2015-2016,East
MILWAUKEE BUCKS,33,49,.402,99.0,103.2,-3.98,2015-2016,East
MIAMI HEAT,48,34,.585,100.0,98.4,1.50,2015-2016,East
ATLANTA HAWKS,48,34,.585,102.8,99.2,3.49,2015-2016,East
CHARLOTTE HORNETS,48,34,.585,103.4,100.7,2.36,2015-2016,East
WASHINGTON WIZARDS,41,41,.500,104.1,104.6,-0.50,2015-2016,East
ORLANDO MAGIC,35,47,.427,102.1,103.7,-1.68,2015-2016,East
BOSTON CELTICS,53,29,.646,108.0,105.4,2.25,2016-2017,East
TORONTO RAPTORS,51,31,.622,106.9,102.6,3.65,2016-2017,East
NEW YORK KNICKS,31,51,.378,104.3,108.0,-3.87,2016-2017,East
PHILADELPHIA 76ERS,28,54,.341,102.4,108.1,-5.83,2016-2017,East
BROOKLYN NETS,20,62,.244,105.8,112.5,-6.74,2016-2017,East
CLEVELAND CAVALIERS,51,31,.622,110.3,107.2,2.87,2016-2017,East
MILWAUKEE BUCKS,42,40,.512,103.6,103.8,-0.45,2016-2017,East
INDIANA PACERS,42,40,.512,105.1,105.3,-0.64,2016-2017,East
